Kingdom,Phylum,Class,Order,Family,Genus,N_Species,SAE3_00_1,SAE3_00_10,SAE3_00_11,SAE3_00_2,SAE3_00_3,SAE3_00_4,SAE3_00_5,SAE3_00_6,SAE3_00_7,SAE3_00_8,SAE3_00_9,SAE3_05_1,SAE3_05_10,SAE3_05_11,SAE3_05_2,SAE3_05_3,SAE3_05_4,SAE3_05_5,SAE3_05_6,SAE3_05_7,SAE3_05_8,SAE3_05_9,SAE3_23_1,SAE3_23_10,SAE3_23_11,SAE3_23_2,SAE3_23_3,SAE3_23_4,SAE3_23_5,SAE3_23_6,SAE3_23_7,SAE3_23_8,SAE3_23_9,SAE3_39_1,SAE3_37_10,SAE3_37_11,SAE3_37_2,SAE3_37_3,SAE3_37_4,SAE3_37_5,SAE3_37_6,SAE3_37_7,SAE3_37_8,SAE3_37_9,SAE3_68_1,SAE3_68_2,SAE3_68_3,SAE3_68_4,SAE3_68_5,sum
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,1,1,0,8,5,5,1,9,8,2,6,12,10,12,1,0,1,1,0,97
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,SHD-231,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,1,5,4,0,2,1,7,2,2,3,2,3,1,0,3,2,0,52
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,2,4,0,0,2,0,1,0,2,0,1,0,1,1,0,1,1,0,0,0,3,0,0,2,0,0,1,0,2,3,0,1,3,2,2,7,2,1,1,2,4,1,4,0,0,8,2,6,4,6,73
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,1,22,19,12,19,24,11,9,19,22,14,17,1,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,202
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,3,21,21,27,20,32,12,27,20,22,26,17,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,249
Bacteria,NC10,12-24,Methylomirabiliales,Methylomirabiliaceae,Candidatus Methylomirabilis,5,9,8,10,13,11,8,17,7,8,10,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,120
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,2,8,9,3,12,5,3,9,16,4,1,7,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,1,2,3,0,2,4,0,8,9,9,5,4,18,16,8,12,11,5,1,0,0,0,1,213
Bacteria,Nitrospirae,Nitrospira (class),Nitrospirales,Thermodesulfovibrionaceae,BD2-6,11,2,0,2,0,2,4,6,2,2,1,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,5,2,42
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,6,1,2,3,3,3,41,36,50,32,33,176
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Levilinea,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,7,7,3,7,3,2,5,10,2,0,0,0,0,0,0,1,4,1,2,1,0,0,0,0,71
